date,state,cfr,hospitals,hospitals_per_100k
2020-05-03,Kansas,2.74,169,5.805
2020-05-04,Kansas,2.86,169,5.805
2020-05-05,Kansas,2.84,169,5.805
2020-05-06,Kansas,2.77,169,5.805
2020-05-07,Kansas,2.63,169,5.805
2020-05-08,Kansas,2.47,169,5.805
2020-05-09,Kansas,2.48,169,5.805
2020-05-10,Kansas,2.44,169,5.805
2020-05-11,Kansas,2.43,169,5.805
2020-05-12,Kansas,2.42,169,5.805
2020-05-13,Kansas,2.37,169,5.805
2020-05-14,Kansas,2.36,169,5.805
2020-05-15,Kansas,2.34,169,5.805
2020-05-16,Kansas,2.35,169,5.805
2020-05-17,Kansas,2.34,169,5.805
2020-05-18,Kansas,2.25,169,5.805
2020-05-19,Kansas,2.27,169,5.805
2020-05-20,Kansas,2.27,169,5.805
2020-05-21,Kansas,2.27,169,5.805
2020-05-22,Kansas,2.21,169,5.805
2020-05-23,Kansas,2.19,169,5.805
2020-05-24,Kansas,2.19,169,5.805
2020-05-25,Kansas,2.17,169,5.805
2020-05-26,Kansas,2.18,169,5.805
2020-05-27,Kansas,2.19,169,5.805
2020-05-28,Kansas,2.2,169,5.805
2020-05-29,Kansas,2.13,169,5.805
2020-05-30,Kansas,2.12,169,5.805
2020-05-31,Kansas,2.14,169,5.805
2020-06-01,Kansas,2.15,169,5.805
2020-06-02,Kansas,2.24,169,5.805
2020-06-03,Kansas,2.21,169,5.805
2020-06-04,Kansas,2.23,169,5.805
2020-06-05,Kansas,2.22,169,5.805
2020-06-06,Kansas,2.22,169,5.805
2020-06-07,Kansas,2.22,169,5.805
2020-06-08,Kansas,2.21,169,5.805
2020-06-09,Kansas,2.21,169,5.805
2020-06-10,Kansas,2.2,169,5.805
2020-06-11,Kansas,2.2,169,5.805
2020-06-12,Kansas,2.18,169,5.805
2020-06-13,Kansas,2.18,169,5.805
2020-06-14,Kansas,2.17,169,5.805
2020-06-15,Kansas,2.14,169,5.805
2020-06-16,Kansas,2.13,169,5.805
2020-06-17,Kansas,2.1,169,5.805
2020-06-18,Kansas,2.12,169,5.805
2020-06-19,Kansas,2.09,169,5.805
2020-06-20,Kansas,2.1,169,5.805
